"week","contractId","contractAddress","creator","global_funder","global_funding","global_owner","estimatedRewards","global_period","global_total","global_initial","period","total"
1,401178,"KAH63UVMR7SF3CNWG6LYNMCUERXZRGS4D4KW7HQ4ZCQNEIR5GVQRM6TUAI","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"WWTJLLMJIG65BZFT3I557RRPJKXR4Z4JAQZ26FVYHTFQATNSOK3IALZJZA",,18,3278171,"1545500",,
1,401154,"OSBUJJTVAW2354WH6AOPUM3IMKUIG6D7MO6BZGEJXYW4L3MOMQY5BXE4VM","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"UNSEHWDF5XV57G46W37M57CWKIKPQWHCDKWXGDRSKN7KCBIPMOCEIKQ2VU",,18,1060553633,"500000000",,
1,401126,"37RO7L6GRQNWAAQEXKYKXA77E3O6ZJ6MFR7TM2QT5PP4WI6745VGYCNCZE","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"RNEGLGIH4MOTTAUPGNNWXPZX56LZMAKN3WHXSIABPGUDR4I6JESVCO5Z7M",,18,909955017301,"429000000000",,
1,401103,"WVR5E6DTYU2DLVGXQ6D4VCVGTDJQXIKKNQNABOOFM3QHAG3DX2W3PZOBEU","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"EYKYEKP7CIEOWSGGD7VZRB26ZAQ2WJ4W7RNUY7SPFMPCDB4FLE3H4HIJQY",,18,21211161897,"10000042069",,
1,401093,"OIEPCUK54OUTO6N4PLSJXHWG6UNMJYTZPTUN26BPGKWGEKQ234A5EMSYGU","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"37KINBSERCMW7S7N2QZXOD655RZL3VBTU6EIZB5LOLZEUKRRBQ5Q2EGA6U",,18,10822801349,"5102430000",,
1,401084,"SRYJOUOC5HNNQ2ZUV6S5ZCDY6XLSHPJHOP7MZJORQDRMX4ZVGYNODKCPNM","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"NK7LWSKFA64ICPH6GCQSF6SH2W3MSXGH5FWKCJIMU6GYVDHYZQ7J6YV3QM",,18,95449826990,"45000000000",,
1,401070,"PSR5RSVZ5HEUY7J4BGZYMYDJA7I424JRRDDEI37AJAWJ7C4J7QQ5DZZI3A","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"WRKIE5BMYYOBLIRQ6X5AM6CBKSV66MJDAQJEZJ76CPH4KHMERAF7I53OJY",,1,8012457,"8000000",,
1,401047,"LWERCAWE4ZEXGGEYQEUB3MKXNAOJE2L6CD2IHDYREYAWXCB2RH7TV2LEVA","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"2VNT6NPP5ZSCPEATSDMM73QHYEWG4RMOYQSG7C3T7TPNEMKI6D4ECNH7DE",,18,212110727,"100000000",,
1,401020,"ROC7T2MCEL7CABDA6VAMKLGYL6PN7BSEHEGQCU4B4PTRU75GC2MUSBKINI","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"N6AHTV6CXJZSUHU6VBZOT37ATLUIGR3IBBBPQHCFJSH5WOOAJVJDOGPSJM",,2,150934256055,"150000000000",,
1,400997,"TGEZN55JE4WBRDNUQTOZE3CWETNEZW4LWKBGU7B4JFDTAFVLVN2PIABNCY","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"7WO47R4XY5TIO3YP4KFK7RU6Z72YL5VPPIOM2P5NNFH6YFYLQZVVJWMJFI",,17,369558000000,"184779000000",,
