contractId,contractAddress,creator,global_funder,global_funding,global_owner,estimatedRewards,global_period,global_total
297095,2V6DWXI2TXFWZFUMIOVXVH56T5HHBHZIUGLX2SSR3WNFII4XXKC4KQ3KZI,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,B2ORM56NW2KAAVCRRDWDIWO2OPWG4GFTOCCFAL4TJTX7GCBWTP6RDFY6CI,2116.236857,5,0
297088,72SY4JOQI5KEEVR2NGDO5DS7FUV227F3CPDNEQ3Y3ICMB5NFZTNE5DVVMU,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,TQEF4ZIA2MQQFSBJ53LQ37373TOX7ITQA5YF3C6Y675QLNIZ75VX42ALE4,13831.11946,0,0
297074,KRIFHHBYDO6YAMQG5NY4WHG3XVFWTBUDU3SOLXJW27LMLNWXYHRRGFYWFU,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,LVAA2TTD75BRZZOEZVXZWR5YWVBYQHR5HNHTQ4AXOWIEV7735AHBAQBCOA,4103.987905,0,0
297067,SNTFL3UV3TTXCPRPVM5NMOGDWFKPPBL7NG3Z6KIDHKBYH3RKFNUY3IERFA,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,FFQMIA45OXMJOWNNKMWLUBZHFFVOQTOKVSVZ6AM4YITJTFFMU6X27TOFWU,7.557989,0,0
297060,R2JKVURNMAIE5OOPVVLUWWRBBUUZPJTFYYQ3UBBG4BJPRNR5EFH3ANK5H4,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,DLKFIZ5IY6S5R3VLEHE6UPGUKSCWOLNWVQ72SCHCXD6BLNTKQDVHKFKK7Q,6726.61001,0,0
297032,WI5PGHIISWZJL7ZQJRIARY2XWKJXTSPWNRAU643FLUYRZX6WE3TVM2FAGM,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,6G2F4TTVXZW6P6RO3SOEXAGZQSVGRY3D25TVPBT6XVJKFAJBX43I5HWX6I,49580.40637,0,0
297025,5A6RHNAWBN3XNVK4V6Y3TZ73YPAWBKR67QNQZJKQFLGAF6KF2Q33MI5JHQ,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,LNPVOTV6QXZTPWSYKWURZS5EBPPYY6XUALGGP2LSUGPVVNOHIHBKKJKQKM,6703.936044,0,0
296976,DA3DMCS4XFGR6U5RTHNPWTMOAKDFSJ5WF5ITYOH3DZTM2KJ4KRKYEV2FLY,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,AQP4P5ZS2ASWMD3KOFDGXBFIQ3VU6NY52JL2RS3ELS7GE5ODJIKS6IDVYA,13906.69935,0,0
296969,IPDZNO6DA4PVCKF443KXDAGUKXCYUYWUQKCNNBBD7ZGH5UW44ABOV7PLE4,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,LIBIOIXVNN6Y7NQEUOAKYRDWGBDVYFIOJKJEYGCRZUZ3XK5KESNFV7T7WY,6167.318841,0,0
296941,SEALG3D6SZNNID6ZJTCT7GFYVVSTHTWQTPGWMFZOYWWRFVKU3AFIO5XGMA,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,DNSVQMONP4SVG5XMY4MYQFMPPPI6Z2O7B64AHRWOMUY7TLHHB4C4HWZTPQ,982.538541,0,0
